Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ361Б|p-n-p|150 (35°C)|>=250|20|4|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
КТ361В|p-n-p|150 (35°C)|>=250|40|4|50|<=1 (10 B)|40...160 (10 В; 1 мА)|<=7 (10 В)|<=20|<=40*|<=1000
КТ361Г|p-n-p|150 (35°C)|>=250|35|4|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=7 (10 В)|<=20|<=40*|<=500
КТ361Г1|p-n-p|150|>=250|35|4|100|<=1 (10 B)|100...350 (10 В; 1 мА)|<=7 (10 В)|<=20|<=40*|<=500
КТ361Д|p-n-p|150 (35°C)|>=250|40|4|50|<=1 (10 B)|20...90 (10В; 1 мА)|<=7 (10 В)|<=50|-|<=250
КТ361Д1|p-n-p|150|>=150|40|4|50|<=1 (10 B)|20...90 (10 В; 1 мА)|<=7 (10 В)|<=50|-|<=250
КТ361Е|p-n-p|150 (35°C)|>=250|35|4|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=7 (10 В)|<=50|-|<=1000
КТ361Ж|p-n-p|150|>=250|10|4|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=9 (10 В)|<=50|-|<=100
КТ361И|p-n-p|150|>=250|15|4|50|<=1 (10 B)|>=250 (10 В; 1 мА)|<=9 (10 В)|<=50|-|<=1000
КТ361К|p-n-p|150|>=250|60|4|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=7 (10 В)|<=50|-|<=500
КТ361Л|p-n-p|150|>=250|20|4|100|<=1 (10 B)|50...350 (10 В; 1 мА)|<=9 (10 В)|-|-|-
КТ361М|p-n-p|150|>=250|40|4|100|<=1 (10 B)|70...160(10 В; 1 мА)|<=7 (10 В)|-|-|-
КТ361Н|p-n-p|150|>=150|45|4|50|<=1 (10 B)|20...90 (10 В; 1 мА)|<=7 (10 В)|-|-|-
КТ361П|p-n-p|150|>=300|50|4|50|<=1 (10 B)|100...350 (10 В; 1 мА)|<=7 (10 В)|-|-|-
КТ361А-2|p-n-p|150|>=250|25|5|100|<=1 (10 B)|20...90 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
КТ361А-3|p-n-p|150|>=150|25|5|100|<=1 (10 B)|20...90 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
