Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ815А|n-p-n|10* Вт|>=3|40* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=40* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ815Б|n-p-n|10* Вт|>=3|50* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=40* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ815В|n-p-n|10* Вт|>=3|70* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=40* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ815Г|n-p-n|10* Вт|>=3|100* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=30* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ8164А|n-p-n|75* Вт|>=4|700|9|4 А|<=10 мА (700 В)|10...60*|-|-|-|-
КТ8164Б|n-p-n|75* Вт|>=4|600|9|4 А|<=10 мА (600 В)|10...60*|-|-|-|-
КТ816А|p-n-p|25* Вт|>=3|40* (1к)|5|3 (6*) А|<=0,1 мА (25 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,6|-|-
КТ816Б|p-n-p|25* Вт|>=3|45* (1к)|5|3 (6*) А|<=0,1 мА (45 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,6|-|-
КТ816В|p-n-p|25* Вт|>=3|60* (1к)|5|3 (6*) А|<=0,1 мА (60 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,6|-|-
КТ816Г|p-n-p|25* Вт|>=3|100* (1к)|5|3 (6*) А|<=0,1 мА (100 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,6|-|-
КТ816А-2|p-n-p|25* Вт|>=3|40* (1к)|5|3 А (6* А)|<=100 (25 В)|>=200* (1 В; 0,03 А)|<=60 (10 В)|<=0,б|-|-
КТ8170А-1|n-p-n|40* Вт|>=4|700|9|1,5 А|<=1 мА (700 В)|5...25* (2 В; 1 А)|-|-|-|-
КТ8170Б-1|n-p-n|40* Вт|>=4|600|9|1,5 А|<=1 мА (600 В)|5...25* (2 В; 1 А)|-|-|-|-
КТ8175А|n-p-n|20* Вт|-|700*; 400**|9|1,5 (3*) А|-|8...40 (2 В; 1 А)|-|<=1|-|3000*
КТ8175Б|n-p-n|20* Вт|-|600*; 300**|9|1,5 (3*) А|-|8...40 (2 В; 1 А)|-|<=1|-|3000*
КТ8175А-1|n-p-n|20* Вт|-|700*; 400**|9|1,5 (3*) А|-|8...40 (2 В; 1 А)|-|<=1|-|3000*
КТ8175Б-1|n-p-n|20* Вт|-|600*; 300**|9|1,5 (3*) А|-|8...40 (2 В; 1 А)|-|<=1|-|3000*
КТ8176А|n-p-n|40* Вт|>=3|60|5|3 А|-|>=25* (4 В; 1 А)|-|-|-|-
КТ8176Б|n-p-n|40* Вт|>=3|80|5|3 А|-|>=25* (4 В; 1 А)|-|-|-|-
КТ8176В|n-p-n|40* Вт|>=3|100|5|3 А|-|>=25* (4 В; 1 А)|-|-|-|-
КТ8177А|p-n-p|40* Вт|>=3|60|5|3 А|-|>=25* (4 В; 1 А)|-|-|-|-
КТ8177Б|p-n-p|40* Вт|>=3|80|5|3 А|-|>=25* (4 В; 1 А)|-|-|-|-
КТ8177В|p-n-p|40* Вт|>=3|100|5|3 А|-|>=25* (4 В; 1 А)|-|-|-|-
КТ817А|n-p-n|25* Вт|>=3|40* (1к)|5|3 (6*) А|<=0,1 мА (25 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,б|-|-
КТ817Б|n-p-n|25* Вт|>=3|45* (1к)|5|3 (6*) А|<=0,1 мА (45 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,б|-|-
КТ817В|n-p-n|25* Вт|>=3|60* (1к)|5|3 (6*) А|<=0,1 мА (60 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,б|-|-
КТ817Г|n-p-n|25* Вт|>=3|100* (1к)|5|3 (6*) А|<=0,1 мА (100 В)|>=25* (2 В; 1 А)|<=60 (10 В)|<=0,6|-|-
КТ817Б-2|n-p-n|25* Вт|>=3|45* (1к)|5|3 (6*) А|<=0,1 мА (40 В)|>=100* (5 В; 50 мА)|<=60 (10 В)|<=0,08|-|-
КТ817Г-2|n-p-n|25* Вт|>=3|100* (1к)|5|3 (6*) А|<=0,1 мА (40 В)|>=100* (5 В; 50 мА)|<=60 (10 В)|<=0,08|-|-
КТ8181А|n-p-n|50* Вт|-|700*; 400**|9|4 (8*) А|-|10...60* (5 В; 1 А)|-|<=0,25|-|3000*
КТ8181Б|n-p-n|50* Вт|-|600*; 300**|9|4 (8*) А|-|10...60* (5 В; 1 А)|-|<=0,25|-|3000*
КТ8182А|n-p-n|60* Вт|-|700*; 400**|9|8 (16*) А|-|8...40* (5 В; 2 А)|-|<=0,4|-|3000*
КТ8182Б|n-p-n|60* Вт|-|600*; 300**|9|8 (16*) А|-|8...40* (5 В; 2 А)|-|<=0,4|-|3000*
КТ8183А|n-p-n с диодом и резистором|56* Вт|-|1500; 700**|-|8 А; 15* А|-|>=5* (5 В; 3 А)|-|<=0,17|-|3000*
КТ8183Б|n-p-n с диодом и резистором|56* Вт|-|1200; 600**|-|8 А; 15* А|-|>=5* (5 В; 3 А)|-|<=0,17|-|3000*
КТ8183А-1|n-p-n с диодом и резистором|56* Вт|-|1500; 700**|-|8 А; 15* А|-|>=5* (5 В; 3 А)|-|<=0,17|-|3000*
КТ8183Б-1|n-p-n с диодом и резистором|56* Вт|-|1200; 600**|-|8 А; 15* А|-|>=5* (5 В; 3 А)|-|<=0,17|-|3000*
КТ8183А-2|n-p-n с диодом и резистором|56* Вт|-|1500; 700**|-|8 А; 15* А|-|>=5* (5 В; 3 А)|-|<=0,17|-|3000*
КТ8183Б-2|n-p-n с диодом и резистором|56* Вт|-|1200; 600**|-|8 А; 15* А|-|>=5* (5 В; 3 А)|-|<=0,17|-|3000*
КТ818А|p-n-p|60* Вт|>=3|40* (0,1 к)|5|10 (15*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818Б|p-n-p|60* Вт|>=3|50* (0,1 к)|5|10 (15*) А|<=1 мА (40 В)|>=20* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818В|p-n-p|60* Вт|>=3|70* (0,1 к)|5|10 (15*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818Г|p-n-p|60* Вт|>=3|90* (0,1 к)|5|10 (15*) А|<=1 мА (40 В)|>=12* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818АМ|p-n-p|100* Вт|>=3|40* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818БМ|p-n-p|100* Вт|>=3|50* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=20* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818ВМ|p-n-p|100* Вт|>=3|70* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818ГМ|p-n-p|100* Вт|>=3|90* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=12* (5 В; 5 А)|<=1000 (5 В)|<=0,27|-|<=2500**
КТ818А-1|p-n-p|100* Вт|>=3|40* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|<=1000 (5 В)|<=0,4|-|<=2500**
КТ818Б-1|p-n-p|100* Вт|>=3|50* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=20* (5 В; 5 А)|<=1000 (5 В)|<=0,4|-|<=2500**
КТ818В-1|p-n-p|100* Вт|>=3|70* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|<=1000 (5 В)|<=0,4|-|<=2500**
КТ818Г-1|p-n-p|100* Вт|>=3|90* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=12* (5 В; 5 А)|<=1000 (5 В)|<=0,4|-|<=2500**
КТ819А|n-p-n|1,5 Вт; 60* Вт|>=3|40* (0,1к)|5|10 (15*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819Б|n-p-n|1,5 Вт; 60* Вт|>=3|50* (0,1к)|5|10 (15*) А|<=1 мА (40 В)|>=20* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819В|n-p-n|1,5 Вт; 60* Вт|>=3|70* (0,1к)|5|10 (15*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819Г|n-p-n|1,5 Вт; 60* Вт|>=3|100* (0,1к)|5|10 (15*) А|<=1 мА (40 В)|>=12* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819АМ|n-p-n|2 Вт; 100* Вт|>=3|40* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819БМ|n-p-n|2 Вт; 100* Вт|>=3|50* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=20* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819ВМ|n-p-n|2 Вт; 100* Вт|>=3|70* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819ГМ|n-p-n|2 Вт; 100* Вт|>=3|100* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=12* (5 В; 5 А)|-|<=0,4|-|<=2500**
КТ819А-1|n-p-n|2 Вт; 100* Вт|>=3|40* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|-|<=1|-|<=2500**
КТ819Б-1|n-p-n|2 Вт; 100* Вт|>=3|50* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=20* (5 В; 5 А)|-|<=1|-|<=2500**
КТ819В-1|n-p-n|2 Вт; 100* Вт|>=3|70* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=15* (5 В; 5 А)|-|<=1|-|<=2500**
КТ819Г-1|n-p-n|2 Вт; 100* Вт|>=3|90* (0,1к)|5|15 (20*) А|<=1 мА (40 В)|>=12* (5 В; 5 А)|-|<=1|-|<=2500**
КТ820А-1|p-n-p|10* Вт|>=3|50* (0,1к)|5|0,5 (1,5*) А|<=30 (40 В)|>=40* (2 В; 0,15 А)|<=65 (5 В)|<=1|-|-
КТ820Б-1|p-n-p|10* Вт|>=3|70* (0,1к)|5|0,5 (1,5*) А|<=30 (40 В)|>=40* (2 В; 0,15 А)|<=65 (5 В)|<=1|-|-
КТ820В-1|p-n-p|10* Вт|>=3|100* (0,1к)|5|0,5 (1,5*) А|<=30 (40 В)|>=30* (2 В; 0,15 А)|<=65 (5 В)|<=1|-|-
КТ821А-1|n-p-n|10* Вт|>=3|50* (0,1к)|5|0,5 (1,5*) А|<=30 (40 В)|>=40* (2 В; 0,15 А)|<=40 (5 В)|<=1,2|-|-
КТ821Б-1|n-p-n|10* Вт|>=3|70* (0,1к)|5|0,5 (1,5*) А|<=30 (40 В)|>=40* (2 В; 0,15 А)|<=40 (5 В)|<=1,2|-|-
КТ821В-1|n-p-n|10* Вт|>=3|100* (0,1к)|5|0,5 (1,5*) А|<=30 (40 В)|>=30* (2 В; 0,15 А)|<=40 (5 В)|<=1,2|-|-
КТ822А-1|p-n-p|20* Вт|>=3|45* (0,1к)|5|2 (4*) А|<=50 (40 В)|>=25* (2 В; 1 А)|<=115 (10 В)|<=0,6|-|-
КТ822Б-1|p-n-p|20* Вт|>=3|60* (0,1к)|5|2 (4*) А|<=50 (40 В)|>=25* (2 В; 1 А)|<=115 (10 В)|<=0,6|-|-
КТ822В-1|p-n-p|20* Вт|>=3|100* (0,1к)|5|2 (4*) А|<=50 (40 В)|>=25* (2 В; 1 А)|<=115 (10 В)|<=0,б|-|-
КТ823А-1|n-p-n|20* Вт|>=3|45* (0,1к)|5|2 (4*) А|<=50 (45 В)|>=25* (2 В; 1 А)|<=75 (10 В)|<=0,6|-|-
КТ823Б-1|n-p-n|20* Вт|>=3|60* (0,1к)|5|2 (4*) А|<=50 (45 В)|>=25* (2 В; 1 А)|<=75 (10 В)|<=0,6|-|-
КТ823В-1|n-p-n|20* Вт|>=3|100* (0,1к)|5|2 (4*) А|<=50 (45 В)|>=25* (2 В; 1 А)|<=75 (10 В)|<=0,б|-|-
КТ825Г|p-n-p|125* Вт|>=4|90|5|20 (30*) А|<=1* мА (90 В)|>=750* (10 В; 10 А)|<=600 (10 В)|<=0,4|-|<=4,5** мкс
КТ825Д|p-n-p|125* Вт|>=4|60|5|20 (30*) А|<=1* мА (60 В)|>=750* (10 В; 10 А)|<=600 (10 В)|<=0,4|-|<=4,5** мкс
КТ825Е|p-n-p|125* Вт|>=4|30|5|20 (30*) А|<=1* мА (30 В)|>=750* (10 В; 10 А)|<=600 (10 В)|<=0,4|-|<=4,5** мкс
КТ826А|n-p-n|15* Вт (50°С)|>=6|700* (0,01 к)|5|1 А|<=2 мА (700 В)|10...120* (10 В; 0,1 А)|<=25 (100 В)|<=5|-|tcп<=1500
КТ826Б|n-p-n|15* Вт (50°С)|>=6|700* (0,01 к)|5|1 А|<=2 мА (700 В)|5...300* (10 В; 0,1 А)|<=25 (100 В)|<=5|-|tcп<=700
КТ826В|n-p-n|15* Вт (50°С)|>=6|700* (0,01 к)|5|1 А|<=2 мА (700 В)|5...120* (10 В; 0,1 А)|<=25 (100 В)|<=5|-|tcп<=700
КТ827А|n-p-n|125* Вт|>=4|100* (1к)|5|20 (40*) А|<=3* мА (100 В)|750...18000* (3 В; 10 А)|<=400 (10 В)|<=0,2|-|<=4,5* мкс
КТ827Б|n-p-n|125* Вт|>=4|80* (1к)|5|20 (40*) А|<=3* мА (80 В)|750...18000* (3 В; 10 В)|<=400 (10 В)|<=0,2|-|<=4,5* мкс
КТ827В|n-p-n|125* Вт|>=4|60* (1к)|5|20 (40*) А|<=3* мА (60 В)|750...18000* (3 В; 10 А)|<=400 (10 В)|<=0,2|-|<=4,5* мкс
КТ828А|n-p-n|50* Вт (50°С)|>=4|800* (0,01 к)|5|5 (7,5*) А|<=5 мА (1400 В)|>=2,25* (5 В; 4,5 А)|-|<=0,66|-|<=10*
КТ828Б|n-p-n|50* Вт|>=4|600* (0,01 к)|5|5 (7,5*) А|<=5 мА (1200 В)|>=2,25* (5 В; 4,5 А)|-|<=0,66|-|<=10*
КТ828В|n-p-n|50* Вт (50°С)|>=4|800* (0,01 к)|5|5 (7,5*) А|<=5 мА (800 В)|>=2,25* (5 В; 4,5 А)|-|<=0,6б|-|<=10*
КТ828Г|n-p-n|50* Вт|>=4|600* (0,01 к)|5|5 (7,5*) А|<=5 мА (600 В)|>=2,25* (5 В; 4,5 А)|-|<=0,6б|-|<=10*
КТ829А|n-p-n|60* Вт|>=4|100* (1к)|5|8 (12*) А|<=1,5* мА (100 В)|>=750* (3 В; 3 А)|<=120|<=0,57|-|-
КТ829Б|n-p-n|60* Вт|>=4|80* (1к)|5|8 (12*) А|<=1,5* мА (80 В)|>=750* (3 В; 3 А)|<=120|<=0,57|-|-
КТ829В|n-p-n|60* Вт|>=4|60* (1к)|5|8 (12*) А|<=1,5* мА (60 В)|>=750* (3 В; 3 А)|<=120|<=0,57|-|-
КТ829Г|n-p-n|60* Вт|>=4|45* (1к)|5|8 (12*) А|<=1,5* мА (60 В)|>=750* (3 В; 3 А)|<=120|<=0,57|-|-
КТ830А|p-n-p|5* Вт|>=4|35|5|2 А; 4* А|<=100 (35 В)|>=20* (1 В; 1 А)|-|<=1,2|-|<=1000*
КТ830Б|p-n-p|5* Вт|>=4|60|5|2 А; 4* А|<=100 (60 В)|>=20* (1 В; 1 А)|-|<=1,2|-|<=1000*
КТ830В|p-n-p|5* Вт|>=4|80|5|2 А; 4* А|<=100 (80 В)|>=20* (1 В; 1 А)|-|<=1,2|-|<=1000*
КТ830Г|p-n-p|5* Вт|>=4|100|5|2 А; 4* А|<=100 (100 В)|>=20* (1 В; 1 А)|-|<=1,2|-|<=1000*
КТ834А|n-p-n|100* Вт|>=4|500* (0,1 к)|8|15 (20*) А|<=3* мА (500 В)|150...3000* (5 В; 5 А)|<=100 (150 В)|<=0,13|-|tcп<=l,2 мкс
КТ834Б|n-p-n|100* Вт|>=4|450* (0,1 к)|8|15 (20*) А|<=3* мА (450 В)|150...3000* (5 В; 5 А)|<=100 (150 В)|<=0,13|-|tcп<=l,2 мкс
КТ834В|n-p-n|100* Вт|>=4|400* (0,1 к)|8|15 (20*) А|<=3* мА (400 В)|150...3000* (5 В; 5 А)|<=100 (150 В)|<=0,13|-|tcп<=l,2 мкс
КТ835А|p-n-p|25* Вт|>=1|30|4|3 А|<=0,1 мА (30 В)|>=25* (1 В; 1 А)|<=800 (10 В)|<=0,35|-|-
КТ835Б|p-n-p|25* Вт|*1|45|4|7,5 А|<=0,15мА (45 В)|10...100* (5 В; 2 А)|<=800 (10 В)|<=0,8|-|-
КТ837А|p-n-p|30* Вт|>=1|80|15|7,5 А|<=0,15 мА (80 В)|10...40* (5 В; 2 А)|-|<=0,8|-|-
КТ837Б|p-n-p|30* Вт|>=1|80|15|7,5 А|<=0,15 мА (80 В)|20...80* (5 В; 2 А)|-|<=0,8|-|-
КТ837В|p-n-p|30* Вт|>=1|80|15|7,5 А|<=0,15 мА (80 В)|50...150* (5 В; 2 А)|-|<=0,8|-|-
КТ837Г|p-n-p|30* Вт|>=1|60|15|7,5 А|<=0,15 мА (60 В)|10...40* (5 В; 2 А)|-|<=0,3|-|-
КТ837Д|p-n-p|30* Вт|>=1|60|15|7,5 А|<=0,15 мА (60 В)|20...80* (5 В; 2 А)|-|<=0,3|-|-
КТ837Е|p-n-p|30* Вт|>=1|60|15|7,5 А|<=0,15 мА (60 В)|50...150* (5 В; 2 А)|-|<=0,3|-|-
КТ837Ж|p-n-p|30* Вт|>=1|45|15|7,5 А|<=0,15 мА (45 В)|10...40* (5 В; 2 А)|-|<=0,25|-|-
КТ837И|p-n-p|30* Вт|>=1|45|15|7,5 А|<=0,15 мА (45 В)|20...80* (5 В; 2 А)|-|<=0,25|-|-
КТ837К|p-n-p|30* Вт|>=1|45|15|7,5 А|<=0,15 мА (45 В)|50...150* (5 В; 2 А)|-|<=0,25|-|-
КТ837Л|p-n-p|30* Вт|>=1|80|5|7,5 А|<=0,15 мА (80 В)|10...40* (5 В; 2 А)|-|<=0,8|-|-
КТ837М|p-n-p|30* Вт|>=1|80|5|7,5 А|<=0,15 мА (80 В)|20...80* (5 В; 2 А)|-|<=0,8|-|-
КТ837Н|p-n-p|30* Вт|>=1|80|5|7,5 А|<=0,15 мА (80 В)|50...150* (5 В; 2 А)|-|<=0,8|-|-
КТ837П|p-n-p|30* Вт|>=1|60|5|7,5 А|<=0,15 мА (60 В)|10...40* (5 В; 2 А)|-|<=0,3|-|-
КТ837Р|p-n-p|30* Вт|>=1|60|5|7,5 А|<=0,15 мА (60 В)|20...80* (5 В; 2 А)|-|<=0,3|-|-
КТ837С|p-n-p|30* Вт|>=1|60|5|7,5 А|<=0,15 мА (60 В)|50...150* (5 В; 2 А)|-|<=0,3|-|-
КТ837Т|p-n-p|30* Вт|>=1|45|5|7,5 А|<=0,15 мА (45 В)|10...40* (5 В; 2 А)|-|<=0,25|-|-
КТ837У|p-n-p|30* Вт|>=1|45|5|7,5 А|<=0,15 мА (45 В)|20...80* (5 В; 2 А)|-|<=0,25|-|-
КТ837Ф|p-n-p|30* Вт|>=1|45|5|7,5 А|<=0,15 мА (45 В)|50...150* (5 В; 2 А)|-|<=0,25|-|-
КТ838А|n-p-n|12,5* Вт (90°С)|>=3|1500|5; 7|5 (7,5*) А|<=1* мА (1500 В)|>=4* (5 В; 3,5 А)|170 (10 В)|<=1,1|-|<=10* мкс; tcп<=l,5
КТ838Б|n-p-n|12,5* Вт|>=3|1200|5; 7|5 (7,5*) А|<=1* мА (1200 В)|>=4* (5 В; 3,5 А)|170 (10 В)|<=1,1|-|<=10* мкс
КТ839А|n-p-n|50* Вт|>=5|1500|5|10 А|<=1 мА (1500 В)|>=5* (10 В; 4 А)|240 (10 В)|<=0,375|-|<=10* мкс; tcп<=l,5
КТ840А|n-p-n|60* Вт|>=8|400*; 900|5|6 (8*) А|<=3 мА (900 В)|10...60* (2,5 В; 8 А)|-|<=0,75|-|tcп<=0,6
КТ840Б|n-p-n|60* Вт|>=8|350*; 750|5|6 (8*) А|<=3 мА (750 В)|>=10* (2,5 В; 8 А)|-|<=0,75|-|tcп<=0,6
КТ840В|n-p-n|60* Вт|>=8|800; 375*|5|6 (8*) А|<=3 мА (800 В)|10...100* (2,5 В; 8 А)|-|<=0,24|-|<=3500*
КТ841А|n-p-n|3 (50*) Вт|>=10|600|5|10(15*) А|<=3 мА (600 В)|>=12* (5 В; 5 А)|<=300 (10 В)|<=0,3|-|<=1000*
КТ841Б|n-p-n|3 (50*) Вт|>=10|400|5|10(15*) А|<=3 мА (400 В)|>=12* (5 В; 5 А)|<=300 (10 В)|<=0,3|-|<=1000*
КТ841В|n-p-n|3 (50*) Вт|>=10|600|5|10(15*) А|<=3 мА (600 В)|>=12* (5 В; 5 А)|<=300 (10 В)|<=0,3|-|<=1000*
КТ841Г|n-p-n|100* Вт|>=7|200|5|10(15*) А|<=3 мА (200 В)|>=20* (5 В; 5 А)|<=300 (10 В)|<=0,3|-|<=1000*
КТ841Д|n-p-n|100* Вт|>=5|500|5|10(15*) А|<=3 мА (500 В)|>=20* (5 В; 2 А)|<=300 (10 В)|<=0,3|-|<=1000*
КТ841Е|n-p-n|50* Вт|>=7|800|5|10(15*) А|<=3 мА (800 В)|>=10* (5 В; 5 А)|<=300 (10 В)|<=0,3|-|<=1000*
КТ842А|p-n-p|3 (50*) Вт|>=20|300|5|5 (10*) А|<=1 мА (300 В)|>=15* (4 В; 5 А)|250 (10 В)|<=0,36|-|800*
КТ842Б|p-n-p|3 (50*) Вт|>=20|200|5|5 (10*) А|<=1 мА (200 В)|>=15* (4 В; 5 А)|250 (10 В)|<=0,3б|-|800*
КТ842В|P-n-p|100* Вт|>=7|200|5|5 (10*) А|<=1 мА (200 В)|>=20* (4 В; 5 А)|250 (10 В)|<=0,44|-|800*
КТ844А|n-p-n|50* Вт (50°С)|>=7,2|250* (0,01 к)|4|10(20*) А|<=3* мА (250 В)|10...50* (3 В; 6 А)|<=300 (10 В)|<=0,4|-|<=2000*
КТ845А|n-p-n|40* Вт (50°С)|>=4,5|400* (0,01 к)|4|5 (7,5*) А|<=3* мА (400 В)|15...100* (5 В; 2 А)|<=45 (200 В)|<=0,75|-|<=4000*
КТ846А|n-p-n|12,5* Вт (90°С)|>=2|1500* (0,01к)|5; 7|5 (7,5*) А|<=1* мА (1500 В)|-|<=200|<=0,22|-|<=12000*
КТ846Б|n-p-n|12,5* Вт (95°С)|>=2|1200|5; 7|5 (7,5*) А|<=1* мА (1200 В)|-|-|<=1,1|-|<=12000*
КТ846В|n-p-n|12,5* Вт (95°С)|>=2|1500|5; 7|5 (7,5*) А|<=1* мА (1500 В)|-|-|<=1,1|-|<=12000*
КТ847А|n-p-n|125* Вт|>=15|650* (0,01к)|8|15 (25*) А|5 мА (650 В)|8...25* (3 В; 15 А)|<=200 (400 В)|<=0,1|-|<=2000*
КТ847Б|n-p-n|125* Вт|>=10|650* (0,01 к)|8|15 (25*) А|5 мА (650 В)|8...25* (3 В; 15 А)|<=200 (400 В)|<=0,1|-|<=3000*
КТ848А|n-p-n|35* Вт (100°С)|>=3|520|15|15 А|<=3* мА (400 В)|>=20* (5 В; 15 А)|-|<=0,2|-|-
КТ848Б|n-p-n|35* Вт (100°С)|>=3|400|15|15 А|<=3* мА (400 В)|>=20* (5 В; 15 А)|-|<=0,2|-|-
КТ850А|n-p-n|25* Вт|>=20|250|5|2 (3*) А|<=100 (250 В)|40...200* (10 В; 0,5 А)|<=35 (5 В)|<=2|-|1500*
КТ850Б|n-p-n|25* Вт|>=20|300|5|2 (3*) А|<=500 (300 В)|>=20* (10 В; 0,5 А)|<=35 (5 В)|<=2|-|1500*
КТ850В|n-p-n|25* Вт|>=20|180|5|2 (3*) А|<=500 (180 В)|>=20* (10 В; 0,5 А)|<=35 (5 В)|<=2|-|1500*
КТ851А|p-n-p|25* Вт|>=20|250|5|2 (3*) А|<=100 (250 В)|40...200* (10 В; 0,5 А)|40 (5 В)|<=2|-|1400*
КТ851Б|p-n-p|25* Вт|>=20|300|5|2 (3*) А|<=500 (300 В)|20...200* (10 В; 0,5 А)|40 (5 В)|<=2|-|1400*
КТ851В|p-n-p|25* Вт|>=20|180|5|2 (3*) А|<=500 (180 В)|20...200* (10 В; 0,5 А)|40 (5 В)|<=2|-|1400*
КТ852А|p-n-p|50* Вт|>=7|100|5|2,5 (4*) А|<=1 мА (100 В)|>=500* (4 В; 2 А)|<=28 (5 В)|<=1,25|-|2000**
КТ852Б|p-n-p|50* Вт|>=7|80|5|2,5 (4*) А|<=1 мА (80 В)|>=500* (4 В; 2 А)|<=28 (5 В)|<=1,25|-|2000**
КТ852В|p-n-p|50* Вт|>=7|60|5|2,5 (4*) А|<=1 мА (60 В)|>=1000* (4 В; 1 А)|<=28 (5 В)|<=1,25|-|2000**
КТ852Г|p-n-p|50* Вт|>=7|45|5|2,5 (4*) А|<=1 мА (45 В)|>=1000* (4 В; 1 А)|<=28 (5 В)|<=1,25|-|2000**
КТ853А|p-n-p|60* Вт|>=7|100|5|8 (12*) А|<=200 (100 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|3300**
КТ853Б|p-n-p|60* Вт|>=7|80|5|8 (12*) А|<=200 (80 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|3300**
КТ853В|p-n-p|60* Вт|>=7|60|5|8 (12*) А|<=200 (60 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|3300**
КТ853Г|p-n-p|60* Вт|>=7|45|5|8 (12*) А|<=200 (45 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|3300**
КТ854А|n-p-n|60* Вт|>=10|600|5|10 (15*) А|<=3 мА (600 В)|>=20* (4 В; 2 А)|200 (10 В)|<=0,4|-|tCП=700
КТ854Б|n-p-n|60* Вт|>=10|400|5|10 (15*) А|<=3 мА (400 В)|>=20* (4 В; 2 А)|200 (10 В)|<=0,4|-|tCП=700
КТ855А|p-n-p|40* Вт|>=5|250|5|5 (8*) А|<=1000 (250 В)|>=20* (4 В; 2 А)|200 (10 В)|<=0,5|-|-
КТ855Б|p-n-p|40* Вт|>=5|150|5|5 (8*) А|<=1000 (150 В)|>=20* (4 В; 2 А)|200 (10 В)|<=0,5|-|-
КТ855В|p-n-p|40* Вт|>=5|150|5|5 (8*) А|<=1000 (150 В)|>=15* (4 В; 2 А)|200 (10 В)|<=0,5|-|-
КТ856А|n-p-n|75* Вт|>=10|800|5|10 А; 12* А|<=3 мА (800 В)|10...60* (5 В; 5 А)|<=100 (90 В)|<=0,3|-|<=2* мкс
